epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
75,6267.81,0.4891,0.86697,0.4388,1.09795,0,0.90266,0.90037,0.938,0.84926,0.88796,0.88492,0.9248,0.84353,0.35193,0.44201,0.28712,0.94668,0,0.000515366,0.000515366,0.000515366
76,6349.86,0.47988,0.82777,0.44115,1.09284,0,0.8872,0.8835,0.94064,0.84959,0.97618,0.79591,0.92889,0.84156,0.3527,0.44613,0.29862,0.93616,0,0.000505,0.000505,0.000505
77,6430.22,0.49836,0.88953,0.45172,1.10375,0,0.90113,0.88485,0.93512,0.8387,0.89124,0.87514,0.91857,0.84568,0.35639,0.44497,0.29848,0.95489,0,0.000494634,0.000494634,0.000494634
78,6511.85,0.47964,0.85113,0.43581,1.09123,0,0.93417,0.87864,0.94782,0.8566,0.92178,0.86408,0.92983,0.85905,0.3186,0.43291,0.26821,0.90299,0,0.000484272,0.000484272,0.000484272
79,6597.37,0.49089,0.89875,0.44526,1.10095,0,0.90838,0.89806,0.94506,0.8495,0.89786,0.88835,0.92862,0.8555,0.3343,0.43717,0.29559,0.93436,0,0.000473919,0.000473919,0.000473919
80,6681.07,0.48296,0.9204,0.44615,1.09405,0,0.91707,0.85885,0.91635,0.78996,0.90853,0.85437,0.898,0.80012,0.3422,0.44506,0.3799,0.93465,0,0.000463579,0.000463579,0.000463579
81,6764.24,0.4944,0.894,0.46504,1.11095,0,0.91103,0.89475,0.94538,0.85252,0.8962,0.88019,0.92528,0.84195,0.33876,0.43843,0.28504,0.93205,0,0.000453258,0.000453258,0.000453258
82,6846.81,0.47353,0.83369,0.42497,1.0916,0,0.90393,0.90777,0.94602,0.85893,0.88866,0.8932,0.92728,0.85298,0.32563,0.43517,0.27245,0.91659,0,0.00044296,0.00044296,0.00044296
83,6930.27,0.48414,0.83575,0.42457,1.09338,0,0.91104,0.89484,0.93662,0.83853,0.9061,0.88998,0.92434,0.83785,0.33463,0.44784,0.28006,0.91687,0,0.000432689,0.000432689,0.000432689
84,7013.55,0.47929,0.85263,0.41135,1.09177,0,0.90807,0.91109,0.93737,0.84561,0.90583,0.8932,0.92524,0.84488,0.32824,0.42214,0.26787,0.914,0,0.000422449,0.000422449,0.000422449
85,7098.59,0.4851,0.86453,0.41752,1.09679,0,0.91487,0.91748,0.94587,0.8522,0.90584,0.90777,0.93328,0.855,0.33949,0.42636,0.28389,0.93386,0,0.000412246,0.000412246,0.000412246
86,7182.99,0.48752,0.828,0.44392,1.09017,0,0.86921,0.91748,0.93388,0.83563,0.93425,0.8301,0.91884,0.83797,0.32482,0.41546,0.29283,0.90937,0,0.000402084,0.000402084,0.000402084
87,7268.28,0.47253,0.84407,0.44231,1.07743,0,0.90548,0.88354,0.93109,0.82938,0.90659,0.86408,0.91273,0.8278,0.34842,0.44916,0.36533,0.95564,0,0.000391966,0.000391966,0.000391966
88,7351.88,0.47423,0.82718,0.42459,1.08889,0,0.89573,0.91745,0.93255,0.83264,0.88616,0.90691,0.9176,0.83571,0.34887,0.41973,0.3128,0.94774,0,0.000381899,0.000381899,0.000381899
89,7436.78,0.47606,0.83938,0.41615,1.0912,0,0.91933,0.90291,0.93328,0.84049,0.90336,0.88835,0.91736,0.83505,0.31644,0.44251,0.28801,0.91761,0,0.000371885,0.000371885,0.000371885
90,7520.36,0.47309,0.82995,0.41526,1.08807,0,0.89975,0.91496,0.93721,0.84554,0.89417,0.89806,0.92307,0.84399,0.30906,0.39996,0.27785,0.89997,0,0.000361929,0.000361929,0.000361929
91,7603.89,0.46593,0.82072,0.39191,1.07882,0,0.90254,0.89806,0.93884,0.83498,0.88798,0.88509,0.91834,0.83347,0.33688,0.42154,0.30046,0.94701,0,0.000352037,0.000352037,0.000352037
92,7687.98,0.458,0.78534,0.40969,1.07773,0,0.9084,0.8665,0.93485,0.84506,0.89827,0.85729,0.92327,0.84389,0.32286,0.40562,0.28611,0.90952,0,0.000342211,0.000342211,0.000342211
93,7773.77,0.46344,0.82006,0.40557,1.08053,0,0.94006,0.85437,0.94355,0.8538,0.92886,0.84466,0.93015,0.84897,0.30868,0.40954,0.25978,0.89732,0,0.000332457,0.000332457,0.000332457
94,7858.24,0.46812,0.82724,0.41769,1.07862,0,0.90169,0.89806,0.94241,0.84927,0.91259,0.86893,0.93251,0.85651,0.32823,0.41756,0.26445,0.90725,0,0.000322778,0.000322778,0.000322778
95,7940.74,0.44871,0.80125,0.39151,1.07244,0,0.88219,0.90873,0.93831,0.8466,0.87276,0.89903,0.92818,0.85186,0.31157,0.42212,0.26091,0.88765,0,0.00031318,0.00031318,0.00031318
96,8025.3,0.461,0.8249,0.39097,1.07924,0,0.89635,0.89806,0.94481,0.85308,0.88067,0.8835,0.9326,0.85113,0.31702,0.41802,0.29865,0.90141,0,0.000303665,0.000303665,0.000303665
97,8108.04,0.45394,0.77835,0.39295,1.06766,0,0.91869,0.8932,0.9427,0.86302,0.90817,0.8835,0.93226,0.85774,0.32202,0.42451,0.27014,0.90685,0,0.000294239,0.000294239,0.000294239
98,8193.88,0.45258,0.81739,0.38428,1.06522,0,0.86932,0.91748,0.94234,0.85195,0.86012,0.90777,0.93257,0.85727,0.30602,0.42221,0.24854,0.88599,0,0.000284906,0.000284906,0.000284906
99,8277.11,0.46298,0.81065,0.40403,1.07771,0,0.91089,0.88835,0.93858,0.84569,0.90094,0.87864,0.92657,0.83974,0.31421,0.42901,0.28997,0.90403,0,0.000275668,0.000275668,0.000275668
100,8360.45,0.46569,0.82261,0.40979,1.07917,0,0.91847,0.86893,0.94112,0.8452,0.91861,0.85922,0.92906,0.85095,0.32582,0.42382,0.28053,0.91299,0,0.000266532,0.000266532,0.000266532
101,8444.6,0.45351,0.80039,0.38112,1.07185,0,0.92424,0.85922,0.94296,0.85415,0.91379,0.84951,0.93091,0.85145,0.31555,0.42733,0.26066,0.89884,0,0.0002575,0.0002575,0.0002575
102,8527.9,0.45475,0.79784,0.38018,1.07166,0,0.87908,0.91757,0.94411,0.85866,0.86978,0.90786,0.93335,0.85466,0.30581,0.42519,0.24574,0.88449,0,0.000248577,0.000248577,0.000248577
103,8611.46,0.45852,0.80422,0.39817,1.07864,0,0.93567,0.84732,0.93934,0.8531,0.92499,0.83805,0.92848,0.84887,0.32349,0.43369,0.26981,0.91527,0,0.000239766,0.000239766,0.000239766
104,8693.19,0.44704,0.79887,0.38208,1.06357,0,0.91756,0.86445,0.93984,0.84905,0.90966,0.84951,0.92575,0.84531,0.31445,0.43308,0.27352,0.89884,0,0.000231071,0.000231071,0.000231071
105,8775.8,0.43665,0.8022,0.38021,1.06033,0,0.87171,0.92718,0.94433,0.8565,0.86586,0.90873,0.93262,0.85255,0.31147,0.41926,0.2613,0.89719,0,0.000222497,0.000222497,0.000222497
106,8858.62,0.45267,0.79096,0.38734,1.06605,0,0.93404,0.87379,0.94661,0.85278,0.92657,0.85757,0.93403,0.85616,0.3229,0.43919,0.25164,0.91287,0,0.000214046,0.000214046,0.000214046
107,8940.68,0.43504,0.79438,0.37808,1.05951,0,0.91826,0.88835,0.94237,0.85779,0.90808,0.87864,0.93226,0.85533,0.32002,0.43024,0.25345,0.90589,0,0.000205723,0.000205723,0.000205723
108,9024.6,0.44077,0.77592,0.37202,1.06137,0,0.90609,0.88835,0.94252,0.85659,0.89157,0.8781,0.93017,0.85889,0.33334,0.42294,0.26337,0.91564,0,0.000197532,0.000197532,0.000197532
109,9107.1,0.44675,0.79071,0.39102,1.07238,0,0.92804,0.87645,0.94498,0.85194,0.91262,0.86189,0.92951,0.8464,0.33028,0.42232,0.24267,0.9137,0,0.000189475,0.000189475,0.000189475
110,9190.27,0.44489,0.80077,0.37566,1.05816,0,0.89444,0.90496,0.94539,0.85315,0.8813,0.90104,0.93329,0.85658,0.32422,0.41069,0.22889,0.90724,0,0.000181557,0.000181557,0.000181557
111,9270.93,0.43678,0.7727,0.38747,1.06232,0,0.88548,0.9008,0.9414,0.85005,0.87102,0.88509,0.92659,0.84943,0.31848,0.41798,0.25561,0.90579,0,0.00017378,0.00017378,0.00017378
112,9351,0.42692,0.77627,0.35397,1.05492,0,0.89389,0.89965,0.94365,0.84734,0.87946,0.8854,0.93127,0.84755,0.33455,0.42737,0.24918,0.92053,0,0.000166149,0.000166149,0.000166149
113,9433.63,0.44199,0.80942,0.38993,1.06276,0,0.9295,0.86893,0.94425,0.85456,0.92077,0.84466,0.93215,0.85136,0.32797,0.42022,0.25969,0.91139,0,0.000158667,0.000158667,0.000158667
114,9514.2,0.43268,0.75898,0.37394,1.05923,0,0.89232,0.90777,0.94583,0.85759,0.87629,0.8932,0.93303,0.85908,0.32368,0.40958,0.25754,0.90828,0,0.000151336,0.000151336,0.000151336
115,9594.23,0.43438,0.7538,0.37013,1.05833,0,0.90218,0.89542,0.94658,0.85777,0.88759,0.88156,0.93457,0.85478,0.31816,0.40873,0.24337,0.90187,0,0.000144161,0.000144161,0.000144161
116,9675.97,0.42329,0.73828,0.35617,1.0441,0,0.94179,0.86408,0.94326,0.85427,0.93121,0.85437,0.93468,0.85511,0.33254,0.41366,0.25002,0.92219,0,0.000137143,0.000137143,0.000137143
117,9757.62,0.44261,0.78284,0.37815,1.06534,0,0.93601,0.86408,0.9414,0.85427,0.92535,0.85437,0.93085,0.85317,0.32858,0.41342,0.25312,0.92169,0,0.000130287,0.000130287,0.000130287
118,9838.23,0.42515,0.75207,0.36222,1.06043,0,0.92554,0.86408,0.94329,0.86205,0.91496,0.85437,0.93311,0.86172,0.31971,0.41235,0.24498,0.90404,0,0.000123596,0.000123596,0.000123596
119,9923.19,0.43433,0.76202,0.36592,1.06159,0,0.88201,0.89806,0.94218,0.85979,0.87247,0.88835,0.93198,0.85675,0.32283,0.41369,0.24132,0.90533,0,0.000117072,0.000117072,0.000117072
120,10006.1,0.43,0.78039,0.36828,1.05673,0,0.88925,0.88835,0.94165,0.85417,0.87933,0.87864,0.93164,0.85743,0.33833,0.40718,0.25334,0.92533,0,0.000110718,0.000110718,0.000110718
