epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
66,4301.07,1.01538,1.57322,0.61722,0.97544,0,0.59636,0.55226,0.54995,0.26043,0.64547,0.49131,0.51995,0.20874,1.86158,2.98582,1.27216,1.31272,0,0.000607916,0.000607916,0.000607916
67,4369.71,0.9968,1.52198,0.59916,0.96584,0,0.58843,0.50807,0.49488,0.23063,0.57365,0.49451,0.47614,0.18611,1.93325,3.10369,1.32632,1.3734,0,0.000597754,0.000597754,0.000597754
68,4434.63,1.00816,1.5496,0.60078,0.96704,0,0.5548,0.53196,0.50918,0.24386,0.57487,0.50355,0.49539,0.193,1.90005,3.11851,1.35463,1.34335,0,0.000587551,0.000587551,0.000587551
69,4499.91,0.98829,1.52164,0.5895,0.96084,0,0.58684,0.52098,0.51519,0.24189,0.57416,0.50161,0.48986,0.18814,1.8827,3.18669,1.31482,1.32889,0,0.000577311,0.000577311,0.000577311
70,4563.26,0.97837,1.50359,0.58302,0.95667,0,0.60099,0.52163,0.51094,0.23778,0.62889,0.50936,0.50147,0.19435,1.93309,3.1379,1.32324,1.35491,0,0.00056704,0.00056704,0.00056704
71,4624.87,0.98832,1.52699,0.59154,0.96074,0,0.63182,0.53002,0.52966,0.24833,0.60499,0.5013,0.50001,0.19217,1.90288,3.22508,1.32655,1.34093,0,0.000556742,0.000556742,0.000556742
72,4687.9,0.97898,1.50735,0.58221,0.96102,0,0.56473,0.51775,0.49768,0.23784,0.60216,0.47292,0.47413,0.18416,1.92392,3.25875,1.37129,1.35921,0,0.000546421,0.000546421,0.000546421
73,4752.38,0.99076,1.51198,0.58788,0.96085,0,0.59275,0.5619,0.53899,0.24957,0.62706,0.48847,0.50962,0.20318,1.90838,3.13045,1.31824,1.35106,0,0.000536081,0.000536081,0.000536081
74,4816.46,0.97234,1.50889,0.57948,0.95342,0,0.5765,0.56507,0.54489,0.25741,0.57585,0.52034,0.51416,0.20963,1.87627,3.20143,1.30751,1.33428,0,0.000525728,0.000525728,0.000525728
75,4880.5,0.98981,1.51675,0.58413,0.9614,0,0.60689,0.55778,0.53285,0.24853,0.59286,0.53208,0.50746,0.19878,1.92142,3.09485,1.27953,1.36201,0,0.000515366,0.000515366,0.000515366
76,4943.48,0.98409,1.51068,0.58146,0.95312,0,0.57189,0.55883,0.51337,0.23645,0.59517,0.49774,0.48665,0.18553,1.93029,3.15961,1.34057,1.36461,0,0.000505,0.000505,0.000505
77,5009.41,0.98065,1.49426,0.5754,0.9566,0,0.58724,0.55261,0.5334,0.24579,0.58435,0.5326,0.51771,0.20345,1.92361,3.20815,1.30303,1.35868,0,0.000494634,0.000494634,0.000494634
78,5075.14,0.96263,1.47747,0.56532,0.94463,0,0.59391,0.53777,0.52255,0.2453,0.62979,0.48031,0.50263,0.1985,1.89877,3.14648,1.34838,1.34729,0,0.000484272,0.000484272,0.000484272
79,5137.72,0.96213,1.48847,0.57061,0.94998,0,0.60094,0.50941,0.51577,0.24586,0.60098,0.47352,0.48003,0.18794,1.92332,3.19796,1.35619,1.35604,0,0.000473919,0.000473919,0.000473919
80,5199.84,0.94324,1.45289,0.56331,0.94346,0,0.58016,0.51384,0.51407,0.24914,0.63089,0.45965,0.49812,0.19938,1.905,3.19746,1.3303,1.35468,0,0.000463579,0.000463579,0.000463579
81,5263.16,0.94961,1.45517,0.5587,0.94305,0,0.5938,0.51065,0.51756,0.24369,0.58854,0.48665,0.48334,0.19241,1.9428,3.36104,1.36431,1.35818,0,0.000453258,0.000453258,0.000453258
82,5325.75,0.95128,1.4702,0.5525,0.94426,0,0.59851,0.54616,0.52388,0.24392,0.5893,0.50206,0.48949,0.1923,1.92025,3.23552,1.33245,1.35097,0,0.00044296,0.00044296,0.00044296
83,5387.13,0.95037,1.45704,0.55461,0.94477,0,0.61682,0.51969,0.51811,0.24265,0.60962,0.50613,0.49791,0.19575,1.93147,3.17543,1.31218,1.37068,0,0.000432689,0.000432689,0.000432689
84,5450.2,0.95357,1.47801,0.55668,0.94718,0,0.61403,0.53131,0.52679,0.24576,0.59987,0.50232,0.49557,0.19642,1.92996,3.2157,1.33678,1.37484,0,0.000422449,0.000422449,0.000422449
85,5512.25,0.9343,1.44284,0.53818,0.93876,0,0.60708,0.55068,0.54807,0.25804,0.61691,0.49903,0.51085,0.20132,1.90123,3.29744,1.32313,1.3537,0,0.000412246,0.000412246,0.000412246
86,5575.21,0.92442,1.42698,0.53556,0.93589,0,0.59088,0.51388,0.5038,0.24323,0.58978,0.48999,0.48589,0.19657,1.92821,3.27437,1.39707,1.38685,0,0.000402084,0.000402084,0.000402084
87,5639.23,0.92388,1.43975,0.53906,0.93792,0,0.59576,0.53471,0.52514,0.24229,0.61038,0.4905,0.49883,0.19528,1.91072,3.20324,1.37224,1.36481,0,0.000391966,0.000391966,0.000391966
88,5704.71,0.92519,1.4341,0.53871,0.93519,0,0.60997,0.5468,0.53859,0.24951,0.61779,0.50549,0.50959,0.1975,1.90928,3.25303,1.27457,1.36389,0,0.000381899,0.000381899,0.000381899
89,5771.21,0.91617,1.41678,0.53077,0.93723,0,0.61483,0.52659,0.53868,0.25852,0.5875,0.50019,0.50303,0.2024,1.88938,3.11485,1.34936,1.34949,0,0.000371885,0.000371885,0.000371885
90,5837.11,0.91217,1.40701,0.52899,0.93532,0,0.6031,0.51893,0.52395,0.24191,0.60015,0.48289,0.48733,0.19201,1.9326,3.2507,1.36105,1.3759,0,0.000361929,0.000361929,0.000361929
91,5899.92,0.92445,1.44016,0.53663,0.93945,0,0.617,0.52808,0.52264,0.24669,0.60501,0.5042,0.4902,0.19304,1.92821,3.20833,1.3017,1.37131,0,0.000352037,0.000352037,0.000352037
92,5964.6,0.9174,1.40927,0.5253,0.93538,0,0.61499,0.53622,0.53573,0.25457,0.62666,0.50931,0.5175,0.2062,1.91475,3.1788,1.33846,1.35729,0,0.000342211,0.000342211,0.000342211
93,6029.7,0.90583,1.39521,0.52389,0.93047,0,0.59479,0.53583,0.52066,0.24523,0.5873,0.49059,0.4902,0.19371,1.9204,3.26071,1.36621,1.35294,0,0.000332457,0.000332457,0.000332457
